Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2/22/2022 22:35,2/23/2022 21:42,UTC-06:00,2/23/2022 8:13,2/23/2022 9:33,80,Weightlifting,12.6,557,179,124,10,26,32,8,20,FALSE,,,
2/21/2022 21:26,2/22/2022 22:35,UTC-06:00,2/22/2022 17:42,2/22/2022 18:19,37,Other,,37,97,82,100,0,0,0,0,FALSE,,,
2/21/2022 21:26,2/22/2022 22:35,UTC-06:00,2/22/2022 9:11,2/22/2022 10:01,50,Weightlifting,5.4,132,157,100,31,47,16,4,0,FALSE,,,
2/20/2022 22:05,2/21/2022 21:26,UTC-06:00,2/21/2022 16:29,2/21/2022 17:22,52,Box Fitness,12.1,388,185,128,18,21,18,14,11,FALSE,,,
2/20/2022 22:05,2/21/2022 21:26,UTC-06:00,2/21/2022 9:11,2/21/2022 10:10,59,Weightlifting,5.9,169,155,107,14,54,25,5,0,FALSE,,,
2/19/2022 21:42,2/20/2022 22:05,UTC-06:00,2/20/2022 8:32,2/20/2022 9:45,72,Box Fitness,7.5,258,180,106,30,26,25,11,4,FALSE,,,
2/18/2022 22:54,2/19/2022 21:42,UTC-06:00,2/19/2022 10:00,2/19/2022 10:46,45,Box Fitness,11,343,173,127,15,28,6,11,38,FALSE,,,
2/16/2022 21:33,2/17/2022 21:17,UTC-06:00,2/17/2022 15:49,2/17/2022 17:28,98,Box Fitness,11.9,639,177,121,4,30,38,21,4,FALSE,,,
2/15/2022 22:01,2/16/2022 21:33,UTC-06:00,2/16/2022 6:35,2/16/2022 7:33,58,Weightlifting,5.9,176,134,99,34,44,21,0,0,FALSE,,,
2/14/2022 21:27,2/15/2022 22:01,UTC-06:00,2/15/2022 7:02,2/15/2022 8:01,59,Box Fitness,12.9,524,185,134,1,20,30,22,17,FALSE,,,
2/14/2022 2:01,2/14/2022 21:27,UTC-06:00,2/14/2022 16:34,2/14/2022 17:38,64,Box Fitness,10.1,361,176,117,25,24,18,16,13,FALSE,,,
2/14/2022 2:01,2/14/2022 21:27,UTC-06:00,2/14/2022 11:45,2/14/2022 13:03,77,Weightlifting,5.5,149,132,97,35,57,7,0,0,FALSE,,,
2/13/2022 1:06,2/14/2022 2:01,UTC-06:00,2/13/2022 9:40,2/13/2022 11:15,95,Softball,8.2,354,152,108,23,40,25,9,0,FALSE,,,
2/12/2022 2:01,2/13/2022 1:06,UTC-06:00,2/12/2022 10:04,2/12/2022 10:51,47,Box Fitness,9,326,169,124,7,20,31,33,7,FALSE,,,
2/10/2022 23:38,2/12/2022 2:01,UTC-06:00,2/11/2022 11:16,2/11/2022 11:57,40,Functional Fitness,11.9,415,188,141,1,13,21,29,28,FALSE,,,
2/9/2022 23:34,2/10/2022 23:38,UTC-06:00,2/10/2022 10:33,2/10/2022 11:22,48,Weightlifting,6.3,190,147,107,24,40,27,7,0,FALSE,,,
2/8/2022 22:05,2/9/2022 23:34,UTC-06:00,2/9/2022 8:05,2/9/2022 9:21,75,Box Fitness,8.7,338,173,108,32,26,26,10,4,FALSE,,,
2/8/2022 0:00,2/8/2022 22:05,UTC-06:00,2/8/2022 17:00,2/8/2022 17:18,17,Running,9.9,229,175,154,5,0,5,14,74,FALSE,,,
2/8/2022 0:00,2/8/2022 22:05,UTC-06:00,2/8/2022 15:39,2/8/2022 16:56,77,Weightlifting,6.9,250,139,104,19,59,21,0,0,FALSE,,,
2/7/2022 1:05,2/8/2022 0:00,UTC-06:00,2/7/2022 14:37,2/7/2022 15:52,74,Weightlifting,8.1,351,151,112,6,54,34,5,0,FALSE,,,
2/6/2022 2:20,2/7/2022 1:05,UTC-06:00,2/6/2022 15:18,2/6/2022 15:46,28,Functional Fitness,9.7,276,180,139,6,5,28,23,34,FALSE,,,
2/3/2022 22:23,2/5/2022 2:49,UTC-06:00,2/4/2022 11:27,2/4/2022 12:30,63,Weightlifting,5.7,144,132,98,27,65,7,0,0,FALSE,,,
2/2/2022 20:18,2/3/2022 22:23,UTC-06:00,2/3/2022 8:51,2/3/2022 9:06,14,Box Fitness,6.6,145,172,140,0,2,18,60,18,FALSE,,,
2/2/2022 20:18,2/3/2022 22:23,UTC-06:00,2/3/2022 8:30,2/3/2022 8:46,15,Rowing,7.5,175,161,145,2,1,7,76,12,FALSE,,,
2/2/2022 20:18,2/3/2022 22:23,UTC-06:00,2/3/2022 7:45,2/3/2022 7:55,10,Box Fitness,5.9,92,170,136,4,15,12,39,27,FALSE,,,
2/2/2022 5:38,2/2/2022 20:18,UTC-06:00,2/2/2022 15:33,2/2/2022 16:22,49,Weightlifting,5.5,139,128,100,22,63,13,0,0,FALSE,,,
2/1/2022 0:08,2/2/2022 5:38,UTC-06:00,2/1/2022 12:15,2/1/2022 12:40,25,Running,13,350,192,158,0,8,17,5,28,TRUE,128.27,2.12,-0.69
2/1/2022 0:08,2/2/2022 5:38,UTC-06:00,2/1/2022 11:19,2/1/2022 12:11,51,Weightlifting,6.2,183,151,104,25,45,26,2,0,FALSE,,,
1/30/2022 22:26,2/1/2022 0:08,UTC-06:00,1/31/2022 9:06,1/31/2022 10:36,90,Box Fitness,11.8,501,184,113,31,26,13,13,14,FALSE,,,
1/29/2022 21:47,1/30/2022 22:26,UTC-06:00,1/30/2022 11:55,1/30/2022 13:30,95,Softball,5.8,191,166,89,70,15,9,3,0,FALSE,,,
1/29/2022 21:47,1/30/2022 22:26,UTC-06:00,1/30/2022 8:35,1/30/2022 9:41,66,Box Fitness,6.6,232,146,100,33,36,28,1,0,FALSE,,,
1/27/2022 22:50,1/29/2022 3:17,UTC-06:00,1/28/2022 15:55,1/28/2022 16:11,15,Stairmaster,5.3,99,143,120,4,27,48,20,0,FALSE,,,
