cstart,cend,sleeponset,wakeonset,SleepScore,resprate,asleep,inbed,lightsleep,deepsleep,rem,awake,sleepneed,sleepdebt,efficiency,Nap
4/1/2020 23:03,4/2/2020 22:40,4/1/2020 23:03,4/2/2020 7:01,83,14.6,439,478,195,94,150,39,527,38,92,FALSE
4/2/2020 23:03,4/3/2020 22:13,4/2/2020 22:40,4/3/2020 7:05,92,14.4,474,505,129,94,251,31,513,38,93,FALSE
4/3/2020 23:03,4/4/2020 22:01,4/3/2020 22:13,4/4/2020 6:45,100,14.3,488,512,192,82,214,24,485,23,95,FALSE
4/4/2020 23:03,4/5/2020 22:27,4/4/2020 22:01,4/5/2020 6:58,100,14.4,493,537,168,108,217,44,479,0,91,FALSE
4/5/2020 23:03,4/6/2020 22:48,4/5/2020 22:27,4/6/2020 6:53,100,14.4,480,506,200,123,157,26,471,0,94,FALSE
4/6/2020 23:03,4/7/2020 22:07,4/6/2020 22:48,4/7/2020 7:29,92,14.7,465,521,193,115,157,56,506,0,89,FALSE
4/7/2020 23:03,4/8/2020 22:11,4/7/2020 22:07,4/8/2020 6:56,100,14.6,504,529,202,108,194,25,504,18,95,FALSE
4/8/2020 23:03,4/9/2020 21:53,4/8/2020 22:11,4/9/2020 7:00,100,14.5,492,529,202,106,184,37,489,0,92,FALSE
4/9/2020 23:03,4/10/2020 22:06,4/9/2020 21:53,4/10/2020 7:35,100,14.6,502,582,204,125,173,80,462,0,86,FALSE
4/10/2020 23:03,4/11/2020 22:57,4/10/2020 22:06,4/11/2020 7:16,100,14.4,517,550,171,119,227,33,491,0,94,FALSE
4/11/2020 23:03,4/12/2020 20:58,4/11/2020 22:57,4/12/2020 7:41,100,14.4,484,524,170,105,209,40,481,0,92,FALSE
4/12/2020 23:03,4/13/2020 22:28,4/12/2020 20:58,4/13/2020 5:24,98,14.2,449,505,154,106,189,56,460,0,88,FALSE
4/13/2020 23:03,4/15/2020 0:11,4/13/2020 22:28,4/14/2020 6:44,96,14.5,477,496,136,107,234,19,497,5,96,FALSE
4/14/2020 23:03,4/15/2020 21:59,4/15/2020 0:11,4/15/2020 7:20,85,13.9,402,428,154,93,155,26,475,9,93,FALSE
4/15/2020 23:03,4/17/2020 1:15,4/15/2020 21:59,4/16/2020 6:45,98,13.9,503,526,294,109,100,23,515,34,95,FALSE
4/16/2020 23:03,4/17/2020 21:42,4/17/2020 1:15,4/17/2020 8:32,80,14.1,396,437,122,82,192,41,498,5,90,FALSE
4/17/2020 23:03,4/18/2020 21:38,4/17/2020 21:42,4/18/2020 5:29,79,14.5,430,467,157,98,175,37,541,45,92,FALSE
4/18/2020 23:03,4/19/2020 23:05,4/18/2020 21:38,4/19/2020 7:26,100,14.9,558,588,221,123,214,30,505,47,94,FALSE
4/19/2020 23:03,4/20/2020 21:37,4/19/2020 23:05,4/20/2020 8:19,100,14.5,505,554,167,132,206,49,478,0,91,FALSE
4/20/2020 23:03,4/21/2020 22:17,4/20/2020 21:37,4/21/2020 6:52,100,14.7,493,555,217,96,180,62,488,0,88,FALSE
4/21/2020 23:03,4/22/2020 22:31,4/21/2020 22:17,4/22/2020 7:23,100,14.6,500,546,239,76,185,46,492,0,91,FALSE
4/22/2020 23:03,4/23/2020 22:27,4/23/2020 12:30,4/23/2020 13:20,10,15.3,46,49,43,0,3,3,471,13,100,TRUE
4/23/2020 23:03,4/23/2020 22:27,4/22/2020 22:31,4/23/2020 7:08,94,14.8,458,516,156,109,193,58,484,0,88,FALSE
4/24/2020 23:03,4/24/2020 23:01,4/23/2020 22:27,4/24/2020 7:23,100,14.9,455,535,223,96,136,80,429,13,85,FALSE
4/25/2020 23:03,4/25/2020 22:35,4/24/2020 23:01,4/25/2020 7:50,99,14.7,474,528,146,120,208,54,481,0,89,FALSE
4/26/2020 23:03,4/26/2020 21:28,4/25/2020 22:35,4/26/2020 7:30,100,15.2,507,535,218,102,187,28,461,2,94,FALSE
4/27/2020 23:03,4/27/2020 21:41,4/26/2020 21:28,4/27/2020 5:29,97,14.6,445,481,213,77,155,36,458,0,92,FALSE
4/28/2020 23:03,4/29/2020 3:40,4/28/2020 13:22,4/28/2020 15:05,16,14.7,76,102,37,20,19,26,491,0,88,TRUE
4/29/2020 23:03,4/29/2020 3:40,4/27/2020 21:41,4/28/2020 6:43,100,14.5,502,541,218,109,175,39,483,8,92,FALSE
4/30/2020 23:03,4/29/2020 22:39,4/29/2020 10:31,4/29/2020 12:12,18,14.3,99,100,72,4,23,1,550,93,98,TRUE
5/1/2020 23:03,4/29/2020 22:39,4/29/2020 3:40,4/29/2020 8:20,59,14.2,246,280,124,53,69,34,416,0,87,FALSE
5/2/2020 23:03,4/30/2020 22:36,4/29/2020 22:39,4/30/2020 7:38,100,14.6,489,538,146,121,222,49,475,93,90,FALSE
5/3/2020 23:03,5/1/2020 22:24,4/30/2020 22:36,5/1/2020 7:24,100,14.5,484,528,197,109,178,44,486,0,91,FALSE
5/4/2020 23:03,5/2/2020 22:26,5/1/2020 22:24,5/2/2020 6:58,96,14.5,470,513,209,93,168,43,490,0,91,FALSE
5/5/2020 23:03,5/3/2020 21:41,5/2/2020 22:26,5/3/2020 7:28,100,14.6,497,542,146,121,230,45,471,11,91,FALSE
5/6/2020 23:03,5/4/2020 22:06,5/3/2020 21:41,5/4/2020 6:50,100,14.1,509,549,229,109,171,40,487,0,92,FALSE
5/7/2020 23:03,5/5/2020 22:25,5/4/2020 22:06,5/5/2020 6:39,100,13.8,473,513,205,63,205,40,473,0,92,FALSE
5/8/2020 23:03,5/6/2020 21:37,5/5/2020 22:25,5/6/2020 6:56,95,14.3,471,511,207,91,173,40,493,0,92,FALSE
5/9/2020 23:03,5/7/2020 22:37,5/6/2020 21:37,5/7/2020 7:14,100,14.4,525,577,217,103,205,52,476,11,91,FALSE
5/10/2020 23:03,5/8/2020 21:58,5/7/2020 22:37,5/8/2020 7:15,100,13.9,502,518,163,117,222,16,466,0,96,FALSE
5/11/2020 23:03,5/9/2020 22:01,5/8/2020 21:58,5/9/2020 7:41,100,14.1,543,582,261,92,190,39,475,0,93,FALSE
5/12/2020 23:03,5/10/2020 22:34,5/9/2020 22:01,5/10/2020 7:00,100,13.9,499,538,138,106,255,39,477,0,92,FALSE
5/13/2020 23:03,5/11/2020 22:03,5/10/2020 22:34,5/11/2020 5:28,87,13.8,400,414,122,97,181,14,461,0,96,FALSE
5/14/2020 23:03,5/12/2020 23:09,5/11/2020 22:03,5/12/2020 7:24,100,13.9,534,561,263,99,172,27,498,29,95,FALSE
5/15/2020 23:03,5/13/2020 22:21,5/12/2020 23:09,5/13/2020 7:24,95,13.9,456,495,131,98,227,39,482,0,92,FALSE
5/16/2020 23:03,5/15/2020 1:00,5/13/2020 22:21,5/14/2020 6:55,100,14.4,490,513,232,68,190,23,471,11,95,FALSE
